#  24 August 2021     Arrin, Callsign: KN1E      International (Basic)  V0.1   0Hz to 2.5GHz (All Allocations) (ARRL BPs till 20m) |   Free to use for those who want to expand their knowledge of the radio spectrum.
#                                                There is a list of contents, reference, color legend, explanation on how you can customize this file, and my comments about this file, after all of the allocations.
#
#                                                Quick Author's Note: It is an absolute pain to try and compile a list that every country can agree on, so I went with what I thought would likely be the best choice.
#                                                I live in the US so I have no experience or familiarity with frequencies other than those in the US, so it's within reason that I will make mistakes/ seemingly unfounded choices.

# minFrequency, maxFrequency, mode, step, color, name
0, 8300, CW, 1, #40FFFFFF, Unallocated
446187500, 446200000, NFM, 100, #552929FF, PMR446 Ch. 16
465986500, 465988500, NFM, 100, #5091A4EE, Metops' DCP configuration control
470000000, 608000000, WFM, 1000, #50FFE55C, Television UHF
608000000, 614000000, NFM, 1000, #40FFFF00, Radio Astronomy (Ch.37)
614000000, 806000000, WFM, 1000, #50FFE55C, Television UHF
902000000, 928000000, NFM, 100, #44006179, 33cm ISM
960000000, 977300000, NFM, 100, #505D88FF, Aviation
977300000, 978700000, NFM, 100, #400000FF, ADSB 978
978700000, 1089950000, NFM, 100, #505D88FF, Aviation
1089950000, 1090050000, NFM, 100, #400000FF, ADSB
1090050000, 1164000000, NFM, 100, #505D88FF, Aviation
1164000000, 1189000000, WFM, 1000, #50FFFF00, GPS L5 and GALILEO E5a
1189000000, 1214000000, WFM, 1000, #50FF44FF, GALILEO E5a and GLONASS G3
1214000000, 1215000000, NFM, 1000, #4089FF00, Radionavigation Satellite Service
1215000000, 1237000000, WFM, 1000, #50FFFF00, GPS L2
1237000000, 1239600000, WFM, 1000, #50FFFF00, GPS L2 and GLONASS G2
1239600000, 1240000000, WFM, 1000, #50FF4400, GLONASS G2
1240000000, 1267346500, NFM, 100, #50FF0000, 23cm Ham Band
1267346500, 1267371500, NFM, 100, #50FFFF00, AO-92 Uplink
1267371500, 1295800000, NFM, 100, #50FF0000, 23cm Ham Band
1295800000, 1296080000, NFM, 100, #5086FFFC, EME
1296080000, 1300000000, NFM, 100, #50FF0000, 23cm Ham Band
1390000000, 1395000000, NFM, 1000, #40FFFF00, Radio Astronomy (1390 - 1395 MHz Band)
1400000000, 1420404750, NFM, 100, #5091A4EE, Earth Exploration-Satellite/ Radio Astronomy
1420404750, 1420406750, NFM, 10, #40FFFF00, Hygrogen Line
1420406750, 1427000000, NFM, 100, #5091A4EE, Earth Exploration-Satellite/ Radio Astronomy
1525000000, 1544000000, NFM, 1000, #33FF4400, Inmarsat Satellites
1544000000, 1545000000, WFM, 1000, #5000BFFF, GALILEO SAR Downlink
1545000000, 1559000000, NFM, 1000, #33FF4400, Inmarsat Satellites
1559000000, 1563000000, WFM, 1000, #500000AA, GALILEO E1
1563000000, 1587000000, WFM, 1000, #50FFFF00, GPS L1 and GALILEO E1
1587000000, 1591000000, WFM, 1000, #500000AA, GALILEO E1
1591000000, 1593000000, NFM, 1000, #4089FF00, Radionavigation Satellite Service
1593000000, 1610000000, WFM, 1000, #50FF4400, GLONASS G1
1610000000, 1610600000, NFM, 1000, #40FFCD00, Aviation Service, and the Mobile Satellite Service (MSS)
1610600000, 1616000000, NFM, 1000, #40FFCD00, Mobile Satellite Service (MSS)
1616000000, 1626000833, NFM, 100, #33FF672F, Iridium Satellites
1626000833, 1626040833, NFM, 100, #55FF672F, Ch.1 Guard Channel (Iridium)
1626042500, 1626082500, NFM, 100, #55FF672F, 2 Guard Channel
1626084167, 1626124167, NFM, 100, #55FF672F, 3 Quaternary Messaging
1626125833, 1626165833, NFM, 100, #55FF672F, 4 Tertiary Messaging
1626167500, 1626207500, NFM, 100, #55FF672F, 5 Guard Channel
1626209167, 1626249167, NFM, 100, #55FF672F, 6 Guard Channel
1626250833, 1626290833, NFM, 100, #55FF672F, 7 Ring Alert
1626292500, 1626332500, NFM, 100, #55FF672F, 8 Guard Channel
1626334167, 1626374167, NFM, 100, #55FF672F, 9 Guard Channel
1626375833, 1626415833, NFM, 100, #55FF672F, 10 Secondary Messaging
1626417500, 1626457500, NFM, 100, #55FF672F, 11 Primary Messaging
1626459167, 1626499167, NFM, 100, #55FF672F, 12 Guard Channel |Iridium
1626500000, 1660500000, NFM, 1000, #33FF4400, Inmarsat Satellites
1660500000, 1668400000, NFM, 1000, #40FFFF00, Radio Astronomy
1668400000, 1670000000, NFM, 1000, #50738FFF, Meteorological Aids and Radio Astronomy
1670000000, 1675000000, NFM, 1000, #50738FFF, Government Use Meteorological-Satellite
1675000000, 1696500000, NFM, 1000, #50738FFF, Meteorological Satellite
1696500000, 1697750000, WFM, 100, #AA000000, HRPT Shared
1697750000, 1698250000, WFM, 100, #557AFFFF, NOAA-19 Center
1698250000, 1699750000, WFM, 100, #AA000000, Shared
1699750000, 1700250000, WFM, 100, #555CBABA, METEOR M2 Center
1700250000, 1701050000, WFM, 100, #AA000000, Shared
1701050000, 1701550000, WFM, 100, #55F07070, Metop-A, Metop-B, FY-3C Center
1701550000, 1702250000, WFM, 100, #AA000000, Shared
1702250000, 1702750000, WFM, 100, #557AFFFF, NOAA-15 Center
1702750000, 1704250000, WFM, 100, #AA000000, Shared
1704250000, 1704750000, WFM, 100, #55FFBA2E, FY-3A, FY-3B Center
1704750000, 1705250000, WFM, 100, #555CBABA, METEOR M2-2 Center
1705250000, 1706750000, WFM, 100, #AA000000, Shared
1706750000, 1707250000, WFM, 100, #557AFFFF, NOAA-18, Metop-C Center
1707250000, 1708500000, WFM, 100, #AA000000, HRPT Shared
1708500000, 1710000000, WFM, 1000, #50738FFF, Meteorological Satellite
2025000000, 2110000000, NFM, 1000, #5091A4EE, Earth-to-Space and Space-to-Space Communications
2290000000, 2300000000, NFM, 1000, #40FFFF00, Radio Astronomy
2300000000, 2310000000, NFM, 100, #50FF0000, 13cm Ham Band (Lower)
2320000000, 2332500000, NFM, 1000, #5000ABFF, Satellite Digital Audio Radio Service (SDARS)
2332500000, 2345000000, NFM, 1000, #40004DFF, SiriusXM Satellites
2345000000, 2360000000, NFM, 1000, #505D88FF, Aviation Service and the Wireless Communications Service (WCS)
2360000000, 2390000000, NFM, 1000, #505D88FF, Aviation
2390000000, 2393750000, NFM, 100, #50FF0000, 13cm Ham Band (Upper)|  Analog and Digital
2393750000, 2394750000, NFM, 100, #503CCCFF, Experimental
2394750000, 2400000000, NFM, 100, #50FF0000, Analog and Digital
2400000000, 2401000000, NFM, 100, #5033FF00, Shared Satellite and 13cm ISM
2401000000, 2410000000, WFM, 100, #44006179, WiFi shared with Satellite and 13cm ISM
2410000000, 2411900000, WFM, 100, #44006179, WiFi shared with Broadband Modes and 13cm ISM
2411900000, 2412100000, WFM, 100, #50000000, WiFi Ch. 1 (Center)
2412100000, 2450000000, WFM, 100, #44006179, WiFi shared with Broadband Modes 13cm ISM  |13cm Ham Band
2416900000, 2417100000, WFM, 100, #AA000000, 
2421900000, 2422100000, WFM, 100, #AA000000, 
2426900000, 2427100000, WFM, 100, #AA000000, 
2431900000, 2432100000, WFM, 100, #AA000000, 
2436900000, 2437100000, WFM, 100, #AA000000, 
2441900000, 2442100000, WFM, 100, #AA000000, 
2446900000, 2447100000, WFM, 100, #AA000000, 
2450000000, 2451900000, WFM, 100, #44006179, WiFi shared with ISM Band (13cm)
2451900000, 2452100000, WFM, 100, #50000000, WiFi Ch. 9
2452100000, 2456900000, WFM, 100, #44006179, WiFi shared with ISM Band (13cm)
2456900000, 2457100000, WFM, 100, #50000000, WiFi Ch. 10
2457100000, 2461900000, WFM, 100, #44006179, WiFi shared with ISM Band (13cm)
2461900000, 2462100000, WFM, 100, #50000000, WiFi Ch. 11
2462100000, 2473000000, WFM, 100, #44006179, WiFi shared with ISM Band (13cm)
2473000000, 2500000000, WFM, 100, #44006179, ISM Band (13cm)
